id,cas,tipo,nome,cas_nome,endereco,endereco_completo_geocodificacao,bairro,cep,email,responsavel,abrangencia,latitude_aproximada,longitude_aproximada,precisao_geocodificacao,fonte
1,1ª CAS,CRAS,CRAS ADALBERTO ISMAEL DE SOUZA,CENTRO,"Rua Ana Neri, 636 – Benfica (dentro da Vila Olímpica da Mangueira – área 3, ao lado do Colégio Santa Mônica)","Rua Ana Neri, 636 – Benfica (dentro da Vila Olímpica da Mangueira – área 3, ao lado do Colégio Santa Mônica), Rio de Janeiro, RJ, Brasil",Benfica,,crasadalbertoismael@prefeitura.rio,Silvana Maria Alves de Araújo dos Santos,"Benfica, Leopoldina, Mangueira e São Cristóvão (parte)",-22.8896,-43.2399,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
2,1ª CAS,CRAS,CRAS GERMINAL DOMINGUES,CENTRO,"Rua Itapiru, 1.443 / 3º andar – Rio Comprido","Rua Itapiru, 1.443 / 3º andar – Rio Comprido, Rio de Janeiro, RJ, Brasil",Rio Comprido,,crasgerminaldomingues@prefeitura.rio,Adriana Maria Pereira Velasco,"Catumbi, Cidade Nova Estácio e Rio Comprido",-22.9257,-43.2096,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
3,1ª CAS,CRAS,CRAS DEPUTADO LUIS EDUARDO MAGALHÃES,CENTRO,"Rua Paraíso do Tuiuti, s/no – Morro do Tuiuti – São Cristóvão (Largo do Pedregulho – Favela Bairro)","Rua Paraíso do Tuiuti, s/no – Morro do Tuiuti – São Cristóvão (Largo do Pedregulho – Favela Bairro), Rio de Janeiro, RJ, Brasil",São Cristóvão,,crasdlem@prefeitura.rio,Cláudia Eugênia da Silva,"Benfica, São Cristóvão (Rua São Luis Gonzaga – lado par – e Rua Bela) e Vasco da Gama",-22.8992,-43.2227,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
4,1ª CAS,CRAS,CRAS XV DE MAIO,CENTRO,"Rua General Sampaio, 74 – Caju (ponto final do ônibus 906)","Rua General Sampaio, 74 – Caju (ponto final do ônibus 906), Rio de Janeiro, RJ, Brasil",Caju,,cras15demaio@prefeitura.rio,Ana Carolina Nunes Ferreira,Caju,-22.8806,-43.2209,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
5,1ª CAS,CRAS,CRAS DODÔ DA PORTELA,CENTRO,"Rua Rivadávia Corrêa, 188 / 2º andar – Gamboa (ponto de referência: Clínica da Família Nélio de Oliveira)","Rua Rivadávia Corrêa, 188 / 2º andar – Gamboa (ponto de referência: Clínica da Família Nélio de Oliveira), Rio de Janeiro, RJ, Brasil",Gamboa,,crasdododaportela@prefeitura.rio,Flávia Alves,"Centro (parte), Gamboa, Ilha de Paquetá, Santo Cristo e Saúde",-22.8976,-43.1905,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
6,1ª CAS,CRAS,CRAS PROFESSORA ISMÊNIA DE LIMA MARTINS,CENTRO,"Rua da Alfândega, 114 – Centro (próximo às Casas Bahia)","Rua da Alfândega, 114 – Centro (próximo às Casas Bahia), Rio de Janeiro, RJ, Brasil",Centro,,crasismenialimamartins@prefeitura.rio,Flávia Martins da Silva Pereira,"Centro (Av. Presidente Vargas, lado ímpar), Lapa e Santa Teresa",-22.9068,-43.1729,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
7,2ª CAS,CRAS,CRAS PRESIDENTE ITAMAR FRANCO,"VILA ISABEL, GRANDE TIJUCA E ZONA SUL","Rua Caçapava, 305 – Grajaú (ponto de referência: Bar da Dona Chica)","Rua Caçapava, 305 – Grajaú (ponto de referência: Bar da Dona Chica), Rio de Janeiro, RJ, Brasil",Grajaú,,craspresidenteitamarfranco@prefeitura.rio,Fábio Santos,Andaraí e Grajaú,-22.9224,-43.2657,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
8,2ª CAS,CRAS,CRAS ROSANI CUNHA,"VILA ISABEL, GRANDE TIJUCA E ZONA SUL","Rua Visconde de Santa Isabel, 412 – Vila Isabel (ponto de referência: lado esquerdo da Estrada Grajaú-Jacarepaguá, ao lado do jornal O Povo)","Rua Visconde de Santa Isabel, 412 – Vila Isabel (ponto de referência: lado esquerdo da Estrada Grajaú-Jacarepaguá, ao lado do jornal O Povo), Rio de Janeiro, RJ, Brasil",Vila Isabel,,crasrosanicunha@prefeitura.rio,Veronica Couto Vidal da Silva,"Vila Isabel, Maracanã e Engenho Novo (parte)",-22.915,-43.2485,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
9,2ª CAS,CRAS,CRAS RINALDO DE LAMARE,"VILA ISABEL, GRANDE TIJUCA E ZONA SUL","Av. Niemeyer, 776 / 7º e 9º andares – São Conrado","Av. Niemeyer, 776 / 7º e 9º andares – São Conrado, Rio de Janeiro, RJ, Brasil",São Conrado,,crasrinaldo@prefeitura.rio,Patrícia Soeiro,"Gávea, Rocinha, São Conrado e Vidigal",-22.999,-43.267,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
10,2ª CAS,CRAS,CRAS PADRE VELOSO,"VILA ISABEL, GRANDE TIJUCA E ZONA SUL","Rua São Clemente, 312 – Botafogo (ponto de referência: Clínica da Família Santa Marta)","Rua São Clemente, 312 – Botafogo (ponto de referência: Clínica da Família Santa Marta), Rio de Janeiro, RJ, Brasil",Botafogo,,craspadrevelloso@prefeitura.rio,Carla Sampaio de Castro e Silva Reis,"Botafogo, Catete, Cosme Velho, Flamengo, Glória, Humaitá, Lagoa (parte) e Laranjeiras",-22.9519,-43.184,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
11,2ª CAS,CRAS,CRAS TIJUCA,"VILA ISABEL, GRANDE TIJUCA E ZONA SUL","Rua Guapiara, 43 – Tijuca (ponto de referência: Praça Saens Pena)","Rua Guapiara, 43 – Tijuca (ponto de referência: Praça Saens Pena), Rio de Janeiro, RJ, Brasil",Tijuca,,crastijuca.smas@prefeitura.rio,Ana Lucia Bastos de Castro Tannes,"Alto da Boa Vista, Praça da Bandeira e Tijuca",-22.9268,-43.2373,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
12,2ª CAS,CRAS,CRAS SEBASTIÃO TEODORO FILHO,"VILA ISABEL, GRANDE TIJUCA E ZONA SUL","Rua Saint Roman, 172 – Copacabana (ponto de referência: Clínica da Família)","Rua Saint Roman, 172 – Copacabana (ponto de referência: Clínica da Família), Rio de Janeiro, RJ, Brasil",Copacabana,,crassebastiaoteodorofilho.smas@prefeitura.rio,Simone Rosa,"Copacabana, Ipanema, Leblon e Leme",-22.9711,-43.1822,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
13,3ª CAS,CRAS,CRAS MARIA DA LUZ DOS SANTOS,ENGENHO NOVO,"Rua Ana Quintão, 380 – Piedade (ponto de referência: Clínica da Família Olga Pacheco)","Rua Ana Quintão, 380 – Piedade (ponto de referência: Clínica da Família Olga Pacheco), Rio de Janeiro, RJ, Brasil",Piedade,,crasmariadaluzdossantos@prefeitura.rio,Maria Janaina Da Silva Fonseca,"Abolição (parte), Engenho da Rainha, Engenho de Dentro, Inhaúma, Piedade (parte), Pilares, Tomás Coelho",-22.8918,-43.3111,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
14,3ª CAS,CRAS,CRAS SOBRAL PINTO,ENGENHO NOVO,"Rua Pernambuco, 484 – Engenho de Dentro (ponto de referência: Praça Rio Grande do Norte)","Rua Pernambuco, 484 – Engenho de Dentro (ponto de referência: Praça Rio Grande do Norte), Rio de Janeiro, RJ, Brasil",Engenho de Dentro,,crassobralpinto@prefeitura.rio,Jacqueline Carvalho Medeiros,"Abolição (parte), Água Santa, Cachambi (parte), Del Castilho (parte), Encantado, Engenho de Dentro (exceto o lado par da Av. Dom Hélder Câmara e a Comunidade Fernão Cardim), Maria da Graça, Méier (exceto comunidade Boca do Mato), Piedade (parte), Pilares (parte) e Todos os Santos",-22.9029,-43.2952,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
15,3ª CAS,CRAS,CRAS CAIO FERNANDO ABREU,ENGENHO NOVO,"Rua Lino Teixeira, 112 – Rocha","Rua Lino Teixeira, 112 – Rocha, Rio de Janeiro, RJ, Brasil",Rocha,,crascaiofernandoabreu@prefeitura.rio,Angela Virginia Vieira do Amaral,"Cachambi (parte), Del Castilho (parte), Higienópolis, Jacaré, Jacarezinho e Maria da Graça (parte)",-22.8994,-43.2484,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
16,3ª CAS,CRAS,CRAS MARY RICHMOND,ENGENHO NOVO,"Rua Conselheiro Ferraz, 54 – Lins de Vasconcelos (ponto de referência: esquina com Rua Vinte de Março)","Rua Conselheiro Ferraz, 54 – Lins de Vasconcelos (ponto de referência: esquina com Rua Vinte de Março), Rio de Janeiro, RJ, Brasil",Lins de Vasconcelos,,crasmaryrichmond@prefeitura.rio,Ana Carla de Souza Pavide,"s: Engenho Novo, Lins de Vasconcelos, Riachuelo, Rocha, São Francisco Xavier (parte) e Sampaio",-22.9117,-43.2858,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
17,4ª CAS,CRAS,CRAS NELSON MANDELA,BONSUCESSO,"Rua da Regeneração, 654 – Bonsucesso (ponto de referência: passarela 9 da Av. Brasil)","Rua da Regeneração, 654 – Bonsucesso (ponto de referência: passarela 9 da Av. Brasil), Rio de Janeiro, RJ, Brasil",Bonsucesso,,crasnelsonmandela.smas@prefeitura.rio,Viviane dos Santos de Oliveira de Freitas,"Complexo da Maré, Bonsucesso e parte de Ramos",-22.862,-43.2539,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
18,4ª CAS,CRAS,CRAS NELZA FELIPE PEREIRA,BONSUCESSO,"Rua Rodolfo Chamberlland, s/nº – Jardim América (ponto de referência: Campo do Veras)","Rua Rodolfo Chamberlland, s/nº – Jardim América (ponto de referência: Campo do Veras), Rio de Janeiro, RJ, Brasil",Jardim América,,crasnelzafelipe.smas@prefeitura.rio,Sandra Maria da Silva,"Jardim América, Parada de Lucas e Vigário Geral",-22.8108,-43.3231,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
19,4ª CAS,CRAS,CRAS PROFESSOR DARCY RIBEIRO,BONSUCESSO,"Estrada Governador Chagas Freitas, 1.900 – Parque Royal (Portuguesa – Ilha do Governador)","Estrada Governador Chagas Freitas, 1.900 – Parque Royal (Portuguesa – Ilha do Governador), Rio de Janeiro, RJ, Brasil",Parque Royal,,craspdcr.smas@prefeitura.rio,Maria da Gloria Alves Costa,"Bancários, Cacuia, Cidade Universitária, Cocotá, Freguesia, Galeão, Jardim Carioca, Jardim Guanabara, Moneró, Portuguesa, Pitangueiras, Praia da Bandeira, Ribeira, Tauá (Dendê, Praia da Rosa, Querosene, Servidores e Sapucaia) e Zumbi",-22.7958,-43.2032,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
20,4ª CAS,CRAS,CRAS CARLOS DRUMMOND DE ANDRADE,BONSUCESSO,"Rua Taperoá, 308 – Morro de Caracol (Penha)","Rua Taperoá, 308 – Morro de Caracol (Penha), Rio de Janeiro, RJ, Brasil",Morro de Caracol,,crascda.smas@prefeitura.rio,Cláudia Regina,"Olaria, Penha e Ramos (parte)",-22.837,-43.2766,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
21,4ª CAS,CRAS,CRAS JOÃO FASSARELA,BONSUCESSO,"Rua Flora Lobo, s/nº – Parque Ary Barroso (Penha – ponto de referência: UPA da Penha)","Rua Flora Lobo, s/nº – Parque Ary Barroso (Penha – ponto de referência: UPA da Penha), Rio de Janeiro, RJ, Brasil",Parque Ary Barroso,,crasjoaofassarela.smas@prefeitura.rio,Solange Pinheiro,"Brás de Pina, Cordovil (Cidade Alta) e Penha Circular",-22.852,-43.255,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
22,4ª CAS,CRAS,CRAS RAMOS,BONSUCESSO,"Estrada do Itararé, 222 – Ramos (Complexo do Alemão)","Estrada do Itararé, 222 – Ramos (Complexo do Alemão), Rio de Janeiro, RJ, Brasil",Ramos,,crasramos.smas@prefeitura.rio,Christiane,"Complexo do Alemão, Bonsucesso (parte), Manguinhos e Ramos (parte)",-22.852,-43.255,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
23,5ª CAS,CRAS,CRAS YARA AMARAL,MADUREIRA,"Estrada do Camboatá, 23000 / lj. 115 – Guadalupe","Estrada do Camboatá, 23000 / lj. 115 – Guadalupe, Rio de Janeiro, RJ, Brasil",Guadalupe,,crasiaraamaral.smas@prefeitura.rio,Cláudia Castro,"Guadalupe, Marechal Hermes, Parque Anchieta e Ricardo de Albuquerque",-22.8386,-43.3756,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
24,5ª CAS,CRAS,CRAS JOSÉ CARLOS CAMPOS,MADUREIRA,"Rua Guarama, s/nº – Rocha Miranda – Cep.: 21510-230 (ponto de referência: rua da 40ª DP)","Rua Guarama, s/nº – Rocha Miranda – Cep.: 21510-230 (ponto de referência: rua da 40ª DP), Rio de Janeiro, RJ, Brasil",Cep.: 21510-230,,crasjcc.smas@prefeitura.rio,Angélica Silva do Rosário,"Bento Ribeiro, Coelho Neto, Honório Gurgel, Oswaldo Cruz, Rocha Miranda e Turiaçu",-22.87,-43.3391,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
25,5ª CAS,CRAS,CRAS ZÓZIMO BARROSO DO AMARAL,MADUREIRA,"Av. Ministro Edgard Romero, 400 – Madureira (ponto de referência: Instituto de Educação Carmela Dutra)","Av. Ministro Edgard Romero, 400 – Madureira (ponto de referência: Instituto de Educação Carmela Dutra), Rio de Janeiro, RJ, Brasil",Madureira,,craszozimobarroso.smas@prefeitura.rio,Andréia da Costa Pinheiro,"Campinho, Cascadura, Cavalcanti, Engenheiro Leal, Madureira, Quintino Bocaiúva e Vaz Lobo",-22.87,-43.3391,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
26,6ª CAS,CRAS,CRAS RUBENS CORRÊA,IRAJÁ,"Rua Capitão Aliatar Martins, 211 – Irajá (ponto de referência: Pça. Dalva de Oliveira)","Rua Capitão Aliatar Martins, 211 – Irajá (ponto de referência: Pça. Dalva de Oliveira), Rio de Janeiro, RJ, Brasil",Irajá,,crasrubenscorrea.smas@prefeitura.rio,Cristiane da Silva Disconzi,"Colégio, Irajá, Vicente de Carvalho, Vila da Penha, Vila Kosmos e Vista Alegre",-22.8314,-43.3231,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
27,6ª CAS,CRAS,CRAS FRANCISCO SALES DE MESQUITA,IRAJÁ,"Rua Mercúrio, 430 – Pavuna (ponto de referência: próximo ao Colégio Mercúrio)","Rua Mercúrio, 430 – Pavuna (ponto de referência: próximo ao Colégio Mercúrio), Rio de Janeiro, RJ, Brasil",Pavuna,,crasfranciscosales.smas@prefeitura.rio,Álida Aparecida Pereira de Lucena,"Anchieta (parte), Costa Barros e Pavuna",-22.8069,-43.3607,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
28,6ª CAS,CRAS,CRAS ACARI,IRAJÁ,"Rua Guaiúba, 150 – Acari (ponto de referência: próximo ao Hospital Ronaldo Gazolla)","Rua Guaiúba, 150 – Acari (ponto de referência: próximo ao Hospital Ronaldo Gazolla), Rio de Janeiro, RJ, Brasil",Acari,,crasacari.smas@prefeitura.rio,Sueli Santos de Oliveira,"Acari, Barros Filho e Parque Colúmbia",-22.8239,-43.3407,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
29,7ª CAS,CRAS,CRAS MARCIO BROTTO,JACAREPAGUÁ,"Rua General José Eulálio, 142 – Anil","Rua General José Eulálio, 142 – Anil, Rio de Janeiro, RJ, Brasil",Anil,,crasmarciobrotto.smas@prefeitura.rio,Célia Valéria Sodré de Souza,"Anil, Barra da Tijuca (parte – da Barrinha às proximidades do Shopping Citta America). Gardênia Azu, Itanhagá e Joá",-22.9552,-43.3397,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
30,7ª CAS,CRAS,CRAS ELIS REGINA,JACAREPAGUÁ,"Av. Edgard Werneck, 1.565 – Cidade de Deus (ponto de referência: CIEP João Batista)","Av. Edgard Werneck, 1.565 – Cidade de Deus (ponto de referência: CIEP João Batista), Rio de Janeiro, RJ, Brasil",Cidade de Deus,,craselisregina.smas@prefeitura.rio,Fabíola,Barra da Tijuca (parte – Av. Ayrton Senna até o Terminal Alvorada) e Cidade de Deus,-22.9483,-43.3627,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
31,7ª CAS,CRAS,CRAS GONZAGUINHA,JACAREPAGUÁ,"Praça Barão da Taquara, 9 – Praça Seca (ponto de referência: 16ª Região Administrativa, entre o Country Club da Pça. Seca e a Caixa Econômica Federal)","Praça Barão da Taquara, 9 – Praça Seca (ponto de referência: 16ª Região Administrativa, entre o Country Club da Pça. Seca e a Caixa Econômica Federal), Rio de Janeiro, RJ, Brasil",Praça Seca,,crasgonzaguinha.smas@prefeitura.rio,Glaucia da Silva Anastácio da Fonseca,"Freguesia, Pechincha, Praça Seca, Tanque e Vila Valqueire",-22.8967,-43.3528,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
32,7ª CAS,CRAS,CRAS ZUMBI DOS PALMARES,JACAREPAGUÁ,"Estrada dos Bandeirantes, 11.227 – Vargem Pequena (ponto de referência: Comunidade César Maia)","Estrada dos Bandeirantes, 11.227 – Vargem Pequena (ponto de referência: Comunidade César Maia), Rio de Janeiro, RJ, Brasil",Vargem Pequena,,craszumbidospalmares.smas@prefeitura.rio,Vanessa de Medeiros Gomes,"Camorim, Curicica, Grumari, Recreio, Rio Centro, Vargem Grande e Vargem Pequena",-22.9916,-43.459,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
33,7ª CAS,CRAS,CRAS MACHADO DE ASSIS,JACAREPAGUÁ,"Rua Núcleo Rodrigues Caldas, 804 – Colônia (ponto de referência: Colônia Juliano Moreira)","Rua Núcleo Rodrigues Caldas, 804 – Colônia (ponto de referência: Colônia Juliano Moreira), Rio de Janeiro, RJ, Brasil",Colônia,,crasmachadodeassis.smas@prefeitura.rio,Sheila Cristina De Moura Valle,"Colônia, Curicica (parte), Jordão e Taquara",-22.9401,-43.4023,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
34,8ª CAS,CRAS,CRAS DEPUTADA HELONEIDA STUDART,BANGU,"Rua Rangel Pestana, 510 – Bangu (ponto de referência: próximo à Rua Rio da Prata)","Rua Rangel Pestana, 510 – Bangu (ponto de referência: próximo à Rua Rio da Prata), Rio de Janeiro, RJ, Brasil",Bangu,,crasdheloneida.smas@prefeitura.rio,IV: Maria Angélica Lacerda da Silva,"Bangu, Senador Camará, Santíssimo (parte)",-22.8808,-43.4693,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
35,8ª CAS,CRAS,CRAS MARIA THEREZA FREIRE MOURA,BANGU,"Rua Silva Cardoso, 967 – Bangu (ponto de referência: próximo ao Hospital São Matheus)","Rua Silva Cardoso, 967 – Bangu (ponto de referência: próximo ao Hospital São Matheus), Rio de Janeiro, RJ, Brasil",Bangu,,crasmariaterezafm.smas@prefeitura.rio,IV: Valéria Cristina de Azevedo Lima,"Bangu (parte), Padre Miguel e Realengo",-22.8808,-43.4693,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
36,8ª CAS,CRAS,CRAS VILA MORETTI,BANGU,"Av. Ministro Ary Franco, 278 – Bangu","Av. Ministro Ary Franco, 278 – Bangu, Rio de Janeiro, RJ, Brasil",Bangu,,crasvilamoretti.smas@prefeitura.rio,,"Bangu (parte), Padre Miguel (parte) e Senador Camará (parte)",-22.8808,-43.4693,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
37,8ª CAS,CRAS,CRAS OSWALDO OSWALDO ANTONIO FERREIRA,BANGU,"Rua Dona Olímpia, 220 – Realengo (ponto de referência: próximo ao GET Carlos Maui)","Rua Dona Olímpia, 220 – Realengo (ponto de referência: próximo ao GET Carlos Maui), Rio de Janeiro, RJ, Brasil",Realengo,,crasoswaldoantoniof.smas@prefeitura.rio,André Luiz,"Deodoro, Magalhães Bastos, Realengo (parte), Sulacap e Vila Militar",-22.8764,-43.4304,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
